=== ЛОГ АНИМАЦИЙ ===
Начало сессии: 2025-11-03 23:45:23

[23:45:23.634] (+0.00s) GAME_INIT | Игра инициализирована
[23:46:19.951] (+56.32s) SPELL_CHECK | name='Цепная молния' icon='chain_lightning' instant=True
[23:46:19.951] (+56.32s) SPELL_ANIMATION | Заклинание: Цепная молния (chain_lightning) | Кастер: hero | Цель: peasant | ТИП: Мгновенное (без снаряда)
[23:46:38.127] (+74.49s) DEFENSE_APPLIED | pixie: Физ.защ 2->2, Маг.защ 3->3, Сопр.маг 25->30
[23:46:41.236] (+77.60s) DEFENSE_APPLIED | gryphon: Физ.защ 10->12, Маг.защ 10->12, Сопр.маг 0->0
[23:46:41.455] (+77.82s) DEFENSE_APPLIED | crossbowman: Физ.защ 2->2, Маг.защ 2->2, Сопр.маг 0->0
[23:46:41.656] (+78.02s) DEFENSE_APPLIED | elf_scout: Физ.защ 2->2, Маг.защ 2->2, Сопр.маг 0->0
[23:46:41.816] (+78.18s) DEFENSE_APPLIED | swordsman: Физ.защ 10->12, Маг.защ 10->12, Сопр.маг 0->0
[23:46:41.969] (+78.34s) DEFENSE_APPLIED | spearman: Физ.защ 4->4, Маг.защ 4->4, Сопр.маг 0->0
[23:46:42.148] (+78.52s) DEFENSE_APPLIED | dryad: Физ.защ 4->4, Маг.защ 4->4, Сопр.маг 25->30
[23:46:42.302] (+78.67s) DEFENSE_APPLIED | peasant: Физ.защ 2->2, Маг.защ 2->2, Сопр.маг 0->0
[23:46:42.677] (+79.04s) DEFENSE_APPLIED | ent: Физ.защ 12->14, Маг.защ 12->14, Сопр.маг 0->0
[23:46:42.678] (+79.05s) ROUND_START | Раунд 2

[23:46:42.679] (+79.05s) DEFENSE_RESET | peasant: Физ.защ 2->2, Маг.защ 2->2, Сопр.маг 0->0
[23:46:42.680] (+79.05s) DEFENSE_RESET | spearman: Физ.защ 4->4, Маг.защ 4->4, Сопр.маг 0->0
[23:46:42.681] (+79.05s) DEFENSE_RESET | crossbowman: Физ.защ 2->2, Маг.защ 2->2, Сопр.маг 0->0
[23:46:42.682] (+79.05s) DEFENSE_RESET | swordsman: Физ.защ 12->10, Маг.защ 12->10, Сопр.маг 0->0
[23:46:42.683] (+79.05s) DEFENSE_RESET | gryphon: Физ.защ 12->10, Маг.защ 12->10, Сопр.маг 0->0
[23:46:42.684] (+79.05s) DEFENSE_RESET | pixie: Физ.защ 2->2, Маг.защ 3->3, Сопр.маг 30->25
[23:46:42.685] (+79.05s) DEFENSE_RESET | elf_scout: Физ.защ 2->2, Маг.защ 2->2, Сопр.маг 0->0
[23:46:42.685] (+79.05s) DEFENSE_RESET | dryad: Физ.защ 4->4, Маг.защ 4->4, Сопр.маг 30->25
[23:46:42.686] (+79.05s) DEFENSE_RESET | ent: Физ.защ 14->12, Маг.защ 14->12, Сопр.маг 0->0
[23:48:08.140] (+164.51s) ROUND_START | Раунд 3

[23:48:43.733] (+200.10s) SPELL_CHECK | name='Шок земли' icon='earth_shock' instant=False
[23:48:43.734] (+200.10s) SPELL_ANIMATION | Заклинание: Шок земли (earth_shock) | Кастер: hero | Цель: crossbowman | ТИП: С полетом снаряда
