=== Лог отладки берсерка - сессия начата 2025-11-12 17:43:54 ===
[17:49:59.910] TURN_START: Начало хода | Контроллер: player | Берсерк: False | Команда: player | Unit: pixie @ (18, 1) [id=2225142651200] | Data: {'timestamp': '17:49:59.910', 'unit_id': 2225142651200, 'unit_type': 'pixie', 'position': (18, 1), 'team': 'player1', 'team_type': 'player', 'is_berserker': False, 'controller_type': 'player', 'controller_info': {'has_ai_controller': False}, 'rune_berserker_active': False, 'rune_berserker_turns': 0}
[17:50:03.833] TURN_START: Начало хода | Контроллер: player | Берсерк: False | Команда: player | Unit: elf_archer @ (18, 5) [id=2225142651872] | Data: {'timestamp': '17:50:03.833', 'unit_id': 2225142651872, 'unit_type': 'elf_archer', 'position': (18, 5), 'team': 'player1', 'team_type': 'player', 'is_berserker': False, 'controller_type': 'player', 'controller_info': {'has_ai_controller': False}, 'rune_berserker_active': False, 'rune_berserker_turns': 0}
[17:50:26.569] TURN_START: Начало хода | Контроллер: player | Берсерк: False | Команда: player | Unit: pixie @ (18, 1) [id=2225142999120] | Data: {'timestamp': '17:50:26.569', 'unit_id': 2225142999120, 'unit_type': 'pixie', 'position': (18, 1), 'team': 'player1', 'team_type': 'player', 'is_berserker': False, 'controller_type': 'player', 'controller_info': {'has_ai_controller': False}, 'rune_berserker_active': False, 'rune_berserker_turns': 0}
[17:50:28.658] TURN_START: Начало хода | Контроллер: player | Берсерк: False | Команда: player | Unit: elf_archer @ (18, 5) [id=2225143000720] | Data: {'timestamp': '17:50:28.658', 'unit_id': 2225143000720, 'unit_type': 'elf_archer', 'position': (18, 5), 'team': 'player1', 'team_type': 'player', 'is_berserker': False, 'controller_type': 'player', 'controller_info': {'has_ai_controller': False}, 'rune_berserker_active': False, 'rune_berserker_turns': 0}
[17:50:29.712] TURN_START: Начало хода | Контроллер: player | Берсерк: False | Команда: player | Unit: gryphon @ (1, 9) [id=2225143002640] | Data: {'timestamp': '17:50:29.712', 'unit_id': 2225143002640, 'unit_type': 'gryphon', 'position': (1, 9), 'team': 'player2', 'team_type': 'player', 'is_berserker': False, 'controller_type': 'player', 'controller_info': {'has_ai_controller': False}, 'rune_berserker_active': False, 'rune_berserker_turns': 0}
[17:50:40.314] TURN_START: Начало хода | Контроллер: player | Берсерк: False | Команда: player | Unit: elf_scout @ (18, 3) [id=2225143000080] | Data: {'timestamp': '17:50:40.314', 'unit_id': 2225143000080, 'unit_type': 'elf_scout', 'position': (18, 3), 'team': 'player1', 'team_type': 'player', 'is_berserker': False, 'controller_type': 'player', 'controller_info': {'has_ai_controller': False}, 'rune_berserker_active': False, 'rune_berserker_turns': 0}
[17:50:41.627] TURN_START: Начало хода | Контроллер: player | Берсерк: False | Команда: player | Unit: crossbowman @ (1, 5) [id=2225143002000] | Data: {'timestamp': '17:50:41.627', 'unit_id': 2225143002000, 'unit_type': 'crossbowman', 'position': (1, 5), 'team': 'player2', 'team_type': 'player', 'is_berserker': False, 'controller_type': 'player', 'controller_info': {'has_ai_controller': False}, 'rune_berserker_active': False, 'rune_berserker_turns': 0}
[17:50:55.598] TURN_START: Начало хода | Контроллер: player | Берсерк: False | Команда: player | Unit: swordsman @ (1, 7) [id=2225143002320] | Data: {'timestamp': '17:50:55.598', 'unit_id': 2225143002320, 'unit_type': 'swordsman', 'position': (1, 7), 'team': 'player2', 'team_type': 'player', 'is_berserker': False, 'controller_type': 'player', 'controller_info': {'has_ai_controller': False}, 'rune_berserker_active': False, 'rune_berserker_turns': 0}
[17:50:57.716] TURN_START: Начало хода | Контроллер: player | Берсерк: False | Команда: player | Unit: dryad @ (18, 7) [id=2225142999440] | Data: {'timestamp': '17:50:57.716', 'unit_id': 2225142999440, 'unit_type': 'dryad', 'position': (18, 7), 'team': 'player1', 'team_type': 'player', 'is_berserker': False, 'controller_type': 'player', 'controller_info': {'has_ai_controller': False}, 'rune_berserker_active': False, 'rune_berserker_turns': 0}
[17:50:57.851] TURN_START: Начало хода | Контроллер: player | Берсерк: False | Команда: player | Unit: spearman @ (1, 3) [id=2225143001680] | Data: {'timestamp': '17:50:57.851', 'unit_id': 2225143001680, 'unit_type': 'spearman', 'position': (1, 3), 'team': 'player2', 'team_type': 'player', 'is_berserker': False, 'controller_type': 'player', 'controller_info': {'has_ai_controller': False}, 'rune_berserker_active': False, 'rune_berserker_turns': 0}
[17:50:58.026] TURN_START: Начало хода | Контроллер: player | Берсерк: False | Команда: player | Unit: peasant @ (1, 1) [id=2225143003920] | Data: {'timestamp': '17:50:58.026', 'unit_id': 2225143003920, 'unit_type': 'peasant', 'position': (1, 1), 'team': 'player2', 'team_type': 'player', 'is_berserker': False, 'controller_type': 'player', 'controller_info': {'has_ai_controller': False}, 'rune_berserker_active': False, 'rune_berserker_turns': 0}
